"","comp1","comp2","oneNotInTwo","twoNotInOne","nodeDiff","tipDiff"
"1","chimp","human","Tips in read.tree(animal1) not in read.tree(animal2) : ZNF718.","Tips in read.tree(animal2) not in read.tree(animal1) : ZNF311, ZNF41, ZNF557, ZNF730, ZNF735, ZNF100.","Trees have different numbers of nodes: 274 and 279.","Trees have different numbers of tips: 276 and 281."
"2","chimp","marmoset","Tips in read.tree(animal1) not in read.tree(animal2) : ZNF77, ZNF544, ZNF705G, ZNF782, ZNF585B, ZFP14, ZNF780B, ZNF780A, ZNF850, ZNF774, ZNF181, ZNF354B, ZNF169, ZNF528, ZNF534, ZNF880, ZNF720, ZNF727, ZNF736, ZNF430, AC011503.1, ZNF254, ZNF714, ZNF729, ZNF492, ZNF92, ZNF85, ZNF90, ZNF253, ZNF93, ZNF66, ZNF486, ZNF716, ZNF679, ZNF595, ZNF141, ZNF578, ZNF808, ZNF813, ZNF761, ZNF765, AC022150.1, ZNF845, ZNF324B, ZNF17, ZNF530, ZNF551, POGK, ZNF705B, ZNF705D, ZNF705A, ZNF222, ZNF114, ZNF556, AC119403.1, ZNF487, ZNF347, ZNF677, ZNF816, ZNF732, ZNF479, ZNF724, ZNF98, ZNF91, ZNF728, ZNF208, ZNF676, ZNF680, ZNF506, ZNF737, ZNF626, ZNF675, ZNF681, ZNF519, ZNF671, ZNF772, ZNF416.","Tips in read.tree(animal2) not in read.tree(animal1) : ZNF730, ZNF557, ZNF41, ZNF311.","Trees have different numbers of nodes: 274 and 201.","Trees have different numbers of tips: 276 and 203."
"3","human","chimp","Tips in read.tree(animal1) not in read.tree(animal2) : ZNF311, ZNF41, ZNF557, ZNF730, ZNF735, ZNF100.","Tips in read.tree(animal2) not in read.tree(animal1) : ZNF718.","Trees have different numbers of nodes: 279 and 274.","Trees have different numbers of tips: 281 and 276."
"4","human","marmoset","Tips in read.tree(animal1) not in read.tree(animal2) : ZNF705G, ZNF782, ZNF585B, ZNF544, ZNF77, ZNF671, ZNF772, ZNF416, ZNF774, ZNF705A, ZNF705B, ZNF705D, ZNF578, ZNF808, ZNF845, ZNF765, ZNF761, ZNF813, AC022150.1, ZNF528, ZNF534, ZNF880, ZNF727, ZNF736, ZNF595, ZNF141, ZNF486, ZNF66, ZNF93, ZNF253, ZNF90, ZNF85, ZNF92, AC011503.1, ZNF254, ZNF714, ZNF679, ZNF716, ZNF735, ZNF729, ZNF492, ZNF430, ZNF720, ZNF354B, ZNF169, ZNF114, ZNF222, ZNF487, AC119403.1, ZNF556, ZNF181, POGK, ZNF324B, ZNF530, ZNF551, ZNF17, ZNF850, ZFP14, ZNF780B, ZNF780A, ZNF732, ZNF519, ZNF479, ZNF681, ZNF506, ZNF737, ZNF626, ZNF675, ZNF98, ZNF91, ZNF728, ZNF208, ZNF676, ZNF724, ZNF680, ZNF100, ZNF347, ZNF816, ZNF677.","Tips in read.tree(animal2) not in read.tree(animal1) : ZNF718.","Trees have different numbers of nodes: 279 and 201.","Trees have different numbers of tips: 281 and 203."
"5","marmoset","chimp","Tips in read.tree(animal1) not in read.tree(animal2) : ZNF730, ZNF557, ZNF41, ZNF311.","Tips in read.tree(animal2) not in read.tree(animal1) : ZNF77, ZNF544, ZNF705G, ZNF782, ZNF585B, ZFP14, ZNF780B, ZNF780A, ZNF850, ZNF774, ZNF181, ZNF354B, ZNF169, ZNF528, ZNF534, ZNF880, ZNF720, ZNF727, ZNF736, ZNF430, AC011503.1, ZNF254, ZNF714, ZNF729, ZNF492, ZNF92, ZNF85, ZNF90, ZNF253, ZNF93, ZNF66, ZNF486, ZNF716, ZNF679, ZNF595, ZNF141, ZNF578, ZNF808, ZNF813, ZNF761, ZNF765, AC022150.1, ZNF845, ZNF324B, ZNF17, ZNF530, ZNF551, POGK, ZNF705B, ZNF705D, ZNF705A, ZNF222, ZNF114, ZNF556, AC119403.1, ZNF487, ZNF347, ZNF677, ZNF816, ZNF732, ZNF479, ZNF724, ZNF98, ZNF91, ZNF728, ZNF208, ZNF676, ZNF680, ZNF506, ZNF737, ZNF626, ZNF675, ZNF681, ZNF519, ZNF671, ZNF772, ZNF416.","Trees have different numbers of nodes: 201 and 274.","Trees have different numbers of tips: 203 and 276."
"6","marmoset","human","Tips in read.tree(animal1) not in read.tree(animal2) : ZNF718.","Tips in read.tree(animal2) not in read.tree(animal1) : ZNF705G, ZNF782, ZNF585B, ZNF544, ZNF77, ZNF671, ZNF772, ZNF416, ZNF774, ZNF705A, ZNF705B, ZNF705D, ZNF578, ZNF808, ZNF845, ZNF765, ZNF761, ZNF813, AC022150.1, ZNF528, ZNF534, ZNF880, ZNF727, ZNF736, ZNF595, ZNF141, ZNF486, ZNF66, ZNF93, ZNF253, ZNF90, ZNF85, ZNF92, AC011503.1, ZNF254, ZNF714, ZNF679, ZNF716, ZNF735, ZNF729, ZNF492, ZNF430, ZNF720, ZNF354B, ZNF169, ZNF114, ZNF222, ZNF487, AC119403.1, ZNF556, ZNF181, POGK, ZNF324B, ZNF530, ZNF551, ZNF17, ZNF850, ZFP14, ZNF780B, ZNF780A, ZNF732, ZNF519, ZNF479, ZNF681, ZNF506, ZNF737, ZNF626, ZNF675, ZNF98, ZNF91, ZNF728, ZNF208, ZNF676, ZNF724, ZNF680, ZNF100, ZNF347, ZNF816, ZNF677.","Trees have different numbers of nodes: 201 and 279.","Trees have different numbers of tips: 203 and 281."
