"","comp1","comp2","oneNotInTwo","twoNotInOne","nodeDiff","tipDiff"
"1","chimp","human","Tips in read.tree(animal1) not in read.tree(animal2) : ZNF718.","Tips in read.tree(animal2) not in read.tree(animal1) : ZNF41, ZNF311, ZNF557, ZNF730, ZNF100, ZNF735.","Trees have different numbers of nodes: 274 and 279.","Trees have different numbers of tips: 276 and 281."
"2","chimp","marmoset","Tips in read.tree(animal1) not in read.tree(animal2) : ZNF705A, ZNF705B, ZNF705D, ZNF705G, ZNF77, ZNF556, AC119403.1, ZNF114, ZNF222, ZNF487, ZNF782, ZNF585B, ZNF354B, ZNF544, ZNF169, ZNF774, ZFP14, ZNF780B, ZNF780A, ZNF850, ZNF181, ZNF761, ZNF347, ZNF765, ZNF813, AC022150.1, ZNF816, ZNF578, ZNF808, ZNF677, ZNF534, ZNF528, ZNF880, ZNF845, ZNF519, ZNF727, ZNF736, ZNF141, ZNF595, ZNF732, ZNF679, ZNF716, ZNF729, ZNF85, ZNF675, ZNF681, ZNF486, ZNF253, ZNF90, ZNF66, ZNF626, ZNF506, ZNF93, ZNF737, ZNF680, ZNF92, ZNF254, ZNF724, ZNF430, ZNF91, AC011503.1, ZNF714, ZNF676, ZNF208, ZNF728, ZNF98, ZNF492, ZNF479, ZNF720, POGK, ZNF324B, ZNF530, ZNF772, ZNF671, ZNF17, ZNF551, ZNF416.","Tips in read.tree(animal2) not in read.tree(animal1) : ZNF557, ZNF41, ZNF311, ZNF730.","Trees have different numbers of nodes: 274 and 201.","Trees have different numbers of tips: 276 and 203."
"3","human","chimp","Tips in read.tree(animal1) not in read.tree(animal2) : ZNF41, ZNF311, ZNF557, ZNF730, ZNF100, ZNF735.","Tips in read.tree(animal2) not in read.tree(animal1) : ZNF718.","Trees have different numbers of nodes: 279 and 274.","Trees have different numbers of tips: 281 and 276."
"4","human","marmoset","Tips in read.tree(animal1) not in read.tree(animal2) : ZNF782, ZNF487, ZNF585B, ZNF354B, ZNF774, POGK, ZNF416, ZNF551, ZNF530, ZNF671, ZNF772, ZNF17, ZNF324B, ZNF169, ZNF544, ZNF556, AC119403.1, ZNF77, ZNF222, ZNF114, ZNF705B, ZNF705D, ZNF705G, ZNF705A, ZNF780B, ZNF780A, ZFP14, ZNF850, ZNF181, ZNF347, ZNF761, ZNF732, ZNF92, ZNF724, ZNF98, ZNF728, ZNF676, ZNF208, ZNF714, ZNF254, ZNF91, AC011503.1, ZNF492, ZNF729, ZNF681, ZNF253, ZNF506, ZNF486, ZNF90, ZNF737, ZNF93, ZNF626, ZNF66, ZNF675, ZNF85, ZNF680, ZNF430, ZNF100, ZNF679, ZNF716, ZNF735, ZNF479, ZNF720, ZNF141, ZNF595, ZNF519, ZNF727, ZNF736, ZNF677, ZNF880, ZNF528, ZNF534, ZNF816, ZNF578, ZNF808, ZNF765, ZNF813, ZNF845, AC022150.1.","Tips in read.tree(animal2) not in read.tree(animal1) : ZNF718.","Trees have different numbers of nodes: 279 and 201.","Trees have different numbers of tips: 281 and 203."
"5","marmoset","chimp","Tips in read.tree(animal1) not in read.tree(animal2) : ZNF557, ZNF41, ZNF311, ZNF730.","Tips in read.tree(animal2) not in read.tree(animal1) : ZNF705A, ZNF705B, ZNF705D, ZNF705G, ZNF77, ZNF556, AC119403.1, ZNF114, ZNF222, ZNF487, ZNF782, ZNF585B, ZNF354B, ZNF544, ZNF169, ZNF774, ZFP14, ZNF780B, ZNF780A, ZNF850, ZNF181, ZNF761, ZNF347, ZNF765, ZNF813, AC022150.1, ZNF816, ZNF578, ZNF808, ZNF677, ZNF534, ZNF528, ZNF880, ZNF845, ZNF519, ZNF727, ZNF736, ZNF141, ZNF595, ZNF732, ZNF679, ZNF716, ZNF729, ZNF85, ZNF675, ZNF681, ZNF486, ZNF253, ZNF90, ZNF66, ZNF626, ZNF506, ZNF93, ZNF737, ZNF680, ZNF92, ZNF254, ZNF724, ZNF430, ZNF91, AC011503.1, ZNF714, ZNF676, ZNF208, ZNF728, ZNF98, ZNF492, ZNF479, ZNF720, POGK, ZNF324B, ZNF530, ZNF772, ZNF671, ZNF17, ZNF551, ZNF416.","Trees have different numbers of nodes: 201 and 274.","Trees have different numbers of tips: 203 and 276."
"6","marmoset","human","Tips in read.tree(animal1) not in read.tree(animal2) : ZNF718.","Tips in read.tree(animal2) not in read.tree(animal1) : ZNF782, ZNF487, ZNF585B, ZNF354B, ZNF774, POGK, ZNF416, ZNF551, ZNF530, ZNF671, ZNF772, ZNF17, ZNF324B, ZNF169, ZNF544, ZNF556, AC119403.1, ZNF77, ZNF222, ZNF114, ZNF705B, ZNF705D, ZNF705G, ZNF705A, ZNF780B, ZNF780A, ZFP14, ZNF850, ZNF181, ZNF347, ZNF761, ZNF732, ZNF92, ZNF724, ZNF98, ZNF728, ZNF676, ZNF208, ZNF714, ZNF254, ZNF91, AC011503.1, ZNF492, ZNF729, ZNF681, ZNF253, ZNF506, ZNF486, ZNF90, ZNF737, ZNF93, ZNF626, ZNF66, ZNF675, ZNF85, ZNF680, ZNF430, ZNF100, ZNF679, ZNF716, ZNF735, ZNF479, ZNF720, ZNF141, ZNF595, ZNF519, ZNF727, ZNF736, ZNF677, ZNF880, ZNF528, ZNF534, ZNF816, ZNF578, ZNF808, ZNF765, ZNF813, ZNF845, AC022150.1.","Trees have different numbers of nodes: 201 and 279.","Trees have different numbers of tips: 203 and 281."
